algo,sim,k,rmse,mae
user_knn,cosine,5,1.0436940416451197,0.8051309703224228
user_knn,cosine,10,1.0103621356128099,0.7788782140882354
user_knn,cosine,20,0.9964436588945738,0.768236571185691
user_knn,cosine,40,0.9929970090047867,0.7669987447951906
user_knn,cosine,80,0.993716003054401,0.7694081363894065
item_knn,cosine,5,1.1047792946227646,0.862287920466094
item_knn,cosine,10,1.049569446107811,0.8197226547239385
item_knn,cosine,20,1.018555239852206,0.7943245546812165
item_knn,cosine,40,0.9962178620631491,0.7749594895464538
item_knn,cosine,80,0.9817221446215123,0.7630820295314955
user_knn,msd,5,0.9853437448070862,0.7531732173936063
user_knn,msd,10,0.9633780096047676,0.7371791890622036
user_knn,msd,20,0.9627642542114353,0.7379324674616679
user_knn,msd,40,0.9670393016277027,0.7433324325664128
user_knn,msd,80,0.9747013865180716,0.7508687938357674
item_knn,msd,5,1.0233119773822916,0.7914064136737458
item_knn,msd,10,0.9735929164063428,0.7539593474578427
item_knn,msd,20,0.9473172538043245,0.7320477499625578
item_knn,msd,40,0.9359837271417863,0.7222620081387617
item_knn,msd,80,0.9315473274752447,0.7176663882582884
user_knn,pearson,5,1.04202611144837,0.8103142274995265
user_knn,pearson,10,1.010691444367804,0.7838613962797366
user_knn,pearson,20,1.0006678383813628,0.7752258543875533
user_knn,pearson,40,0.9979358525081615,0.7725585295147822
user_knn,pearson,80,0.9969028778382427,0.7720227658448143
item_knn,pearson,5,1.0800282616883936,0.8411910297584477
item_knn,pearson,10,1.0324615330474423,0.8043778380342994
item_knn,pearson,20,1.0034160416318554,0.7799590753455892
item_knn,pearson,40,0.9898381814308015,0.76852854058992
item_knn,pearson,80,0.9798913140023657,0.7587533328302538
